hour,weekday,speed
0.0,2.0,18.08290943495376
1.0,2.0,22.88678498767625
2.0,2.0,23.325376427979855
3.0,2.0,23.034190344766788
4.0,2.0,19.583744342461742
5.0,2.0,18.194967026880555
6.0,2.0,16.32284569149939
7.0,2.0,12.404095042911546
8.0,2.0,12.715653918472267
9.0,2.0,16.37002133199305
10.0,2.0,14.896370082681083
11.0,2.0,15.040878071821568
12.0,2.0,14.897516930010624
13.0,2.0,15.558478988419163
14.0,2.0,14.606434490732598
15.0,2.0,15.534733505026136
16.0,2.0,15.945506064995612
17.0,2.0,15.577471038118638
18.0,2.0,16.336373034211057
19.0,2.0,17.26490852039826
20.0,2.0,17.390830228792026
21.0,2.0,17.85056919098385
22.0,2.0,18.17418494921346
23.0,2.0,19.461305613962118
