hour,weekday,speed
0.0,2.0,44.851080258084686
1.0,2.0,46.57277380689221
2.0,2.0,46.6269899702514
3.0,2.0,46.39918568302089
4.0,2.0,45.623484546460354
5.0,2.0,38.24671073406449
6.0,2.0,31.21188644222327
7.0,2.0,29.143765980592224
8.0,2.0,25.21075150436247
9.0,2.0,35.02206058120734
10.0,2.0,37.11218679914523
11.0,2.0,38.13252305061501
12.0,2.0,38.575743584766755
13.0,2.0,40.286076332136396
14.0,2.0,38.82930220954511
15.0,2.0,40.21898761263118
16.0,2.0,40.56652139544891
17.0,2.0,41.03700535986476
18.0,2.0,40.542716517265795
19.0,2.0,40.12396916874738
20.0,2.0,39.326036169145546
21.0,2.0,40.38272757245044
22.0,2.0,41.41089628380406
23.0,2.0,42.71620062592126
