hour,weekday,speed
4.0,2.0,52.04772250962462
5.0,2.0,52.123584072285965
6.0,2.0,26.843954083549527
7.0,2.0,15.422958057428445
8.0,2.0,21.12138518183383
9.0,2.0,29.195464558320282
10.0,2.0,32.18750959167997
11.0,2.0,39.90657433979766
12.0,2.0,47.02865843829031
13.0,2.0,48.49008568080677
14.0,2.0,36.2892896474405
15.0,2.0,33.08105139950194
16.0,2.0,32.739942165174114
17.0,2.0,32.17594471669845
18.0,2.0,30.896235682002263
19.0,2.0,32.303659250694984
20.0,3.0,43.85326640907723
21.0,2.5,46.96397801874096
22.0,3.0,50.415429847721185
