hour,weekday,speed
0.0,2.0,5.40008233808993
1.0,2.0,11.076417783846868
2.0,3.0,0.3741832474233151
5.0,2.0,19.175768746453294
6.0,2.0,12.798132396772036
7.0,2.0,9.759920052427555
8.0,2.0,14.2058927645081
9.0,2.0,12.247290280743503
10.0,2.0,11.80955710248828
11.0,2.0,11.305667010598675
12.0,2.0,11.518839829135764
13.0,2.0,11.984982053161007
14.0,2.0,11.79721566427827
15.0,2.0,13.22510930238068
16.0,2.0,17.234317302800164
17.0,2.0,15.363280434681709
18.0,2.0,13.375439627155597
19.0,2.0,10.220619676812499
20.0,2.0,7.763834695788058
21.0,2.0,13.606218395059443
22.0,2.0,15.913437786901424
23.0,2.0,11.461845709940675
