hour,weekday,speed
5.0,2.5,14.067927538059106
6.0,2.0,11.42188601901177
7.0,2.0,8.000532801372085
8.0,2.0,10.447112096433724
9.0,2.0,11.29937185473239
10.0,2.0,13.151007425567602
11.0,2.0,13.049419570421522
12.0,2.0,13.139054529008034
13.0,2.0,12.25759547889966
14.0,2.0,9.855473844796293
15.0,2.0,11.174181012577575
16.0,2.0,12.328746452722195
17.0,2.0,12.490998086595582
18.0,2.0,13.159025827768104
19.0,2.0,14.02825624377757
20.0,2.0,14.835296397433154
21.0,2.0,16.085395066548045
22.0,2.0,0.12450659182326157
